type,url,canonical,title,description,h1,text
home,https://getvant.com.br/,https://getvant.com.br/,VANT,,Delicada no detalhe. Inesquecível na presença.,"✦ Lançamento Exclusivo ✦ Delicada no detalhe. Inesquecível na presença. Semijoias premium criadas para acompanhar sua pele, sua rotina e os momentos em que você decide ser inesquecível. Explorar Coleção Scroll ? FRETE GRÁTIS ACIMA DE R$199 · PARCELE EM 12X SEM JUROS · PEÇAS LIMITADAS ? ? FRETE GRÁTIS ACIMA DE R$199 · PARCELE EM 12X SEM JUROS · PEÇAS LIMITADAS ? CATEGORIAS Encontre sua peça ideal Escolha uma categoria para navegar. Anéis Colares Pulseiras Conjuntos Relógios COLEÇÃO Peças que ficam na memória Todos Novidades Mais Vendidos Edição Lançamento Arraste para ver mais → Adicionar ao carrinho Produto indisponível Anéis Sol e Lua em Prata 925 Oferta Anéis Sol e Lua em Prata 925 Semijoia Vendor: VANT Regular price R$ 99,00 BRL Regular price R$ 119,00 BRL Sale price R$ 99,00 BRL Oferta Adicionar ao carrinho Produto indisponível Anel Angel Anel Angel Vendor: VANT Regular price R$ 59,00 BRL Sale price R$ 59,00 BRL Adicionar ao carrinho Produto indisponível Anel Angel Numbers Oferta Anel Angel Numbers Vendor: VANT Regular price R$ 25,00 BRL Regular price R$ 29,00 BRL Sale price R$ 25,00 BRL Oferta Adicionar ao carrinho Produto indisponível Anel Eterno em Prata 925 Oferta Anel Eterno em Prata 925 Semijoia Vendor: VANT Regular price R$ 89,00 BRL Regular price R$ 117,00 BRL Sale price R$ 89,00 BRL Oferta Adicionar ao carrinho Produto indisponível Anel Flowers Anel Flowers Vendor: VANT Regular price R$ 29,00 BRL Sale price R$ 29,00 BRL Adicionar ao carrinho Produto indisponível Anel Hail Mary Oferta Anel Hail Mary Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 39,00 BRL Sale price R$ 29,00 BRL Oferta Adicionar ao carrinho Produto indisponível Anel Sun Glow Oferta Anel Sun Glow Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 46,00 BRL Sale price R$ 29,00 BRL Oferta Adicionar ao carrinho Produto indisponível Anel Sunlight Anel Sunlight Vendor: VANT Regular price R$ 44,00 BRL Sale price R$ 44,00 BRL Adicionar ao carrinho Produto indisponível Anel/Aliança King and Queen - Banho de Prata 925 Anel/Aliança King and Queen - Banho de Prata 925 Semijoia Vendor: VANT Regular price R$ 210,00 BRL Sale price R$ 210,00 BRL Adicionar ao carrinho Produto indisponível Brinco Argola - Aço inoxidável Brinco Argola - Aço inoxidável Vendor: VANT Regular price R$ 39,00 BRL Sale price R$ 39,00 BRL Adicionar ao carrinho Produto indisponível Brinco Argola Dupla - Banhado Ouro 18k Brinco Argola Dupla - Banhado Ouro 18k Semijoia Vendor: VANT Regular price R$ 79,00 BRL Sale price R$ 79,00 BRL Adicionar ao carrinho Produto indisponível Brinco Argola Tripla - Aço inoxídavel Brinco Argola Tripla - Aço inoxídavel Vendor: VANT Regular price R$ 55,00 BRL Sale price R$ 55,00 BRL Adicionar ao carrinho Produto indisponível Brinco Freesia Oferta Brinco Freesia Vendor: VANT Regular price R$ 49,00 BRL Regular price R$ 109,00 BRL Sale price R$ 49,00 BRL Oferta Adicionar ao carrinho Produto indisponível Brinco Hydrangea Oferta Brinco Hydrangea Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 39,00 BRL Sale price R$ 29,00 BRL Oferta Adicionar ao carrinho Produto indisponível Brinco Mary Oferta Brinco Mary Vendor: VANT Regular price R$ 33,00 BRL Regular price R$ 89,00 BRL Sale price R$ 33,00 BRL Oferta Adicionar ao carrinho Produto indisponível Brinco Petal Brinco Petal Vendor: VANT Regular price From R$ 69,00 BRL Sale price From R$ 69,00 BRL Adicionar ao carrinho Produto indisponível Brinco Red Cross Oferta Brinco Red Cross Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 79,00 BRL Sale price R$ 29,00 BRL Oferta Adicionar ao carrinho Produto indisponível Brinco Sunny Oferta Brinco Sunny Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 59,00 BRL Sale price R$ 29,00 BRL Oferta Adicionar ao carrinho Produto indisponível Brinco Sunny Oferta Brinco Sunny Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 79,00 BRL Sale price R$ 39,00 BRL Oferta Adicionar ao carrinho Produto indisponível Brinco Sunny Heart Oferta Brinco Sunny Heart Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 79,00 BRL Sale price R$ 29,00 BRL Oferta Adicionar ao carrinho Produto indisponível Brincos Jasmine Brincos Jasmine Vendor: VANT Regular price R$ 69,00 BRL Sale price R$ 69,00 BRL Adicionar ao carrinho Produto indisponível Colar Apollo Oferta Colar Apollo Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 59,00 BRL Sale price R$ 39,00 BRL Oferta Adicionar ao carrinho Produto indisponível Colar Black Tie Oferta Colar Black Tie Vendor: VANT Regular price R$ 27,99 BRL Regular price R$ 59,00 BRL Sale price R$ 27,99 BRL Oferta Adicionar ao carrinho Produto indisponível Colar Brilliant - Masculino Colar Brilliant - Masculino Vendor: VANT Regular price From R$ 59,00 BRL Sale price From R$ 59,00 BRL Adicionar ao carrinho Produto indisponível Colar Cold Heart Oferta Colar Cold Heart Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 55,89 BRL Sale price R$ 39,00 BRL Oferta Adicionar ao carrinho Produto indisponível Colar com Letra Árabe em Prata Oferta Colar com Letra Árabe em Prata Vendor: VANT Regular price R$ 59,00 BRL Regular price R$ 89,00 BRL Sale price R$ 59,00 BRL Oferta Adicionar ao carrinho Produto indisponível Colar Cross Pearl Colar Cross Pearl Vendor: VANT Regular price R$ 189,00 BRL Sale price R$ 189,00 BRL Adicionar ao carrinho Produto indisponível Colar Crossing Hearts Colar Crossing Hearts Vendor: VANT Regular price From R$ 59,00 BRL Sale price From R$ 59,00 BRL Adicionar ao carrinho Produto indisponível Colar Dahlia Oferta Colar Dahlia Vendor: VANT Regular price R$ 49,00 BRL Regular price R$ 119,00 BRL Sale price R$ 49,00 BRL Oferta Adicionar ao carrinho Produto indisponível Colar Fairycore Oferta Colar Fairycore Vendor: VANT Regular price R$ 36,00 BRL Regular price R$ 99,00 BRL Sale price R$ 36,00 BRL Oferta PERGUNTAS FREQUENTES Perguntas frequentes As principais dúvidas reunidas de forma simples antes da sua compra. Sobre as peças O que são semijoias e qual a diferença para bijuterias? - Semijoias são peças produzidas com uma base metálica e acabamento nobre, como banho em ouro, ródio ou outros processos especiais. Elas têm aparência mais sofisticada, brilho elegante e melhor acabamento do que bijuterias comuns. Ainda assim, não são joias maciças, por isso precisam de cuidados para preservar a beleza por mais tempo. Cuidados e durabilidade As peças escurecem, causam alergia ou perdem o banho? + Toda peça banhada pode sofrer alterações com o tempo, principalmente se tiver contato frequente com água, suor, perfume, cremes, produtos químicos ou atrito. A durabilidade depende muito do uso e dos cuidados da cliente. Sobre alergias, cada pele reage de uma forma; pessoas com alta sensibilidade a metais devem verificar a composição da peça e evitar uso prolongado até entender como a pele reage. Cuidados e durabilidade Como cuidar das minhas peças no dia a dia? + Evite usar as peças no banho, piscina, mar, academia ou durante procedimentos de beleza. Retire antes de aplicar perfume, creme ou produtos químicos. Após o uso, limpe delicadamente com uma flanela seca e macia e guarde separadamente, em local seco, longe de umidade e luz direta. Entrega e pagamento Como funciona o frete, o prazo de entrega e o rastreio? + O prazo de entrega é calculado automaticamente no checkout, de acordo com o seu CEP e a modalidade de envio escolhida. A VANT oferece frete grátis em compras acima de R$199; quando o pedido atinge esse valor, o benefício aparece no checkout. Após a confirmação do pagamento, você recebe as informações do pedido e pode acompanhar o envio. Entrega e pagamento Quais são as formas de pagamento? + Você pode pagar via Pix ou no cartão de crédito em até 12 vezes. As opções disponíveis aparecem na finalização da compra antes da confirmação do pedido. Trocas e devoluções Como funciona troca, devolução ou atendimento se houver algum problema? + Você pode solicitar troca ou devolução dentro do prazo informado na política da loja, desde que a peça esteja sem sinais de uso e com todos os itens enviados. Se a peça chegar com algum defeito, entre em contato logo após o recebimento, enviando fotos ou vídeos do produto. Para qualquer caso, informe o número do pedido para que o atendimento oriente o próximo passo."
blog,https://getvant.com.br/blogs/news,https://getvant.com.br/blogs/news,"News
 &ndash; VANT",,News,Include clickable links to your collection pages to give customers an overview of your catalog. News
collection,https://getvant.com.br/collections/aneis,https://getvant.com.br/collections/aneis,"Anéis
 &ndash; VANT",,Collection: Anéis,"Collection: Anéis Semijoias Bijuterias Anéis Colares Brincos Pulseiras Conjuntos Filtrar Disponibilidade 0 selected Reset Disponibilidade In stock (9) In stock (9 products) Out of stock (1) Out of stock (1 product) Preço The highest price is R$ 210,00 Reset R$ From R$ To Remove all Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old 9 products Filtrar e ordenar Filtrar Filtrar e ordenar Filtrar 9 products Disponibilidade Disponibilidade In stock (9) In stock (9 products) Out of stock (1) Out of stock (1 products) Clear Apply Preço Preço The highest price is R$ 210,00 R$ From R$ To Clear Apply Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old Remove all Apply Remove all 9 products Anel Sun Glow Oferta Anel Sun Glow Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 46,00 BRL Sale price R$ 29,00 BRL Oferta Anel Hail Mary Oferta Anel Hail Mary Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 39,00 BRL Sale price R$ 29,00 BRL Oferta Anel Angel Numbers Oferta Anel Angel Numbers Vendor: VANT Regular price R$ 25,00 BRL Regular price R$ 29,00 BRL Sale price R$ 25,00 BRL Oferta Anel Flowers Anel Flowers Vendor: VANT Regular price R$ 29,00 BRL Sale price R$ 29,00 BRL Anel Angel Anel Angel Vendor: VANT Regular price R$ 59,00 BRL Sale price R$ 59,00 BRL Anéis Sol e Lua em Prata 925 Oferta Anéis Sol e Lua em Prata 925 Semijoia Vendor: VANT Regular price R$ 99,00 BRL Regular price R$ 119,00 BRL Sale price R$ 99,00 BRL Oferta Anel Eterno em Prata 925 Oferta Anel Eterno em Prata 925 Semijoia Vendor: VANT Regular price R$ 89,00 BRL Regular price R$ 117,00 BRL Sale price R$ 89,00 BRL Oferta Anel Sunlight Anel Sunlight Vendor: VANT Regular price R$ 44,00 BRL Sale price R$ 44,00 BRL Anel/Aliança King and Queen - Banho de Prata 925 Anel/Aliança King and Queen - Banho de Prata 925 Semijoia Vendor: VANT Regular price R$ 210,00 BRL Sale price R$ 210,00 BRL"
collection,https://getvant.com.br/collections/brincos,https://getvant.com.br/collections/brincos,"Brincos
 &ndash; VANT",,Collection: Brincos,"Collection: Brincos Semijoias Bijuterias Anéis Colares Brincos Pulseiras Conjuntos Filtrar Disponibilidade 0 selected Reset Disponibilidade In stock (12) In stock (12 products) Out of stock (0) Out of stock (0 products) Preço The highest price is R$ 79,00 Reset R$ From R$ To Remove all Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old 12 products Filtrar e ordenar Filtrar Filtrar e ordenar Filtrar 12 products Disponibilidade Disponibilidade In stock (12) In stock (12 products) Out of stock (0) Out of stock (0 products) Clear Apply Preço Preço The highest price is R$ 79,00 R$ From R$ To Clear Apply Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old Remove all Apply Remove all 12 products Brinco Argola Tripla - Aço inoxídavel Brinco Argola Tripla - Aço inoxídavel Vendor: VANT Regular price R$ 55,00 BRL Sale price R$ 55,00 BRL Brinco Argola - Aço inoxidável Brinco Argola - Aço inoxidável Vendor: VANT Regular price R$ 39,00 BRL Sale price R$ 39,00 BRL Brinco Argola Dupla - Banhado Ouro 18k Brinco Argola Dupla - Banhado Ouro 18k Semijoia Vendor: VANT Regular price R$ 79,00 BRL Sale price R$ 79,00 BRL Brincos Jasmine Brincos Jasmine Vendor: VANT Regular price R$ 69,00 BRL Sale price R$ 69,00 BRL Brinco Sunny Heart Oferta Brinco Sunny Heart Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 79,00 BRL Sale price R$ 29,00 BRL Oferta Brinco Mary Oferta Brinco Mary Vendor: VANT Regular price R$ 33,00 BRL Regular price R$ 89,00 BRL Sale price R$ 33,00 BRL Oferta Brinco Sunny Oferta Brinco Sunny Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 79,00 BRL Sale price R$ 39,00 BRL Oferta Brinco Freesia Oferta Brinco Freesia Vendor: VANT Regular price R$ 49,00 BRL Regular price R$ 109,00 BRL Sale price R$ 49,00 BRL Oferta Brinco Red Cross Oferta Brinco Red Cross Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 79,00 BRL Sale price R$ 29,00 BRL Oferta Brinco Hydrangea Oferta Brinco Hydrangea Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 39,00 BRL Sale price R$ 29,00 BRL Oferta Brinco Sunny Oferta Brinco Sunny Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 59,00 BRL Sale price R$ 29,00 BRL Oferta Brinco Petal Brinco Petal Vendor: VANT Regular price From R$ 69,00 BRL Sale price From R$ 69,00 BRL"
collection,https://getvant.com.br/collections/colares,https://getvant.com.br/collections/colares,"Colares
 &ndash; VANT",,Collection: Colares,"Collection: Colares Semijoias Bijuterias Anéis Colares Brincos Pulseiras Conjuntos Filtrar Disponibilidade 0 selected Reset Disponibilidade In stock (20) In stock (20 products) Out of stock (0) Out of stock (0 products) Preço The highest price is R$ 189,00 Reset R$ From R$ To Remove all Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old 20 products Filtrar e ordenar Filtrar Filtrar e ordenar Filtrar 20 products Disponibilidade Disponibilidade In stock (20) In stock (20 products) Out of stock (0) Out of stock (0 products) Clear Apply Preço Preço The highest price is R$ 189,00 R$ From R$ To Clear Apply Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old Remove all Apply Remove all 20 products Colar com Letra Árabe em Prata Oferta Colar com Letra Árabe em Prata Vendor: VANT Regular price R$ 59,00 BRL Regular price R$ 89,00 BRL Sale price R$ 59,00 BRL Oferta Colar Minimalista em Prata 925 Oferta Colar Minimalista em Prata 925 Semijoia Vendor: VANT Regular price R$ 99,00 BRL Regular price R$ 119,00 BRL Sale price R$ 99,00 BRL Oferta Colar Shiny em Prata 925 Oferta Colar Shiny em Prata 925 Semijoia Vendor: VANT Regular price R$ 89,00 BRL Regular price R$ 119,00 BRL Sale price R$ 89,00 BRL Oferta Colar Sunday Oferta Colar Sunday Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 39,00 BRL Sale price R$ 29,00 BRL Oferta Colar Apollo Oferta Colar Apollo Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 59,00 BRL Sale price R$ 39,00 BRL Oferta Corrente Snakes Oferta Corrente Snakes Vendor: VANT Regular price R$ 33,00 BRL Regular price R$ 49,00 BRL Sale price R$ 33,00 BRL Oferta Colar Pony Oferta Colar Pony Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 69,00 BRL Sale price R$ 39,00 BRL Oferta Colar Cold Heart Oferta Colar Cold Heart Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 55,89 BRL Sale price R$ 39,00 BRL Oferta Colar Sunny Sky Oferta Colar Sunny Sky Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 39,00 BRL Sale price R$ 29,00 BRL Oferta Colar Fairycore Oferta Colar Fairycore Vendor: VANT Regular price R$ 36,00 BRL Regular price R$ 99,00 BRL Sale price R$ 36,00 BRL Oferta Colar Dahlia Oferta Colar Dahlia Vendor: VANT Regular price R$ 49,00 BRL Regular price R$ 119,00 BRL Sale price R$ 49,00 BRL Oferta Colar Hibiscus Colar Hibiscus Vendor: VANT Regular price R$ 179,00 BRL Sale price R$ 179,00 BRL Colar Jasmine Oferta Colar Jasmine Vendor: VANT Regular price R$ 69,00 BRL Regular price R$ 149,00 BRL Sale price R$ 69,00 BRL Oferta Colar Black Tie Oferta Colar Black Tie Vendor: VANT Regular price R$ 27,99 BRL Regular price R$ 59,00 BRL Sale price R$ 27,99 BRL Oferta Colar Tropical Colar Tropical Vendor: VANT Regular price R$ 99,00 BRL Sale price R$ 99,00 BRL Colar Brilliant - Masculino Colar Brilliant - Masculino Vendor: VANT Regular price From R$ 59,00 BRL Sale price From R$ 59,00 BRL Colar Ray of Sun Colar Ray of Sun Vendor: VANT Regular price From R$ 65,00 BRL Sale price From R$ 65,00 BRL Colar Laço De Fita Colar Laço De Fita Vendor: VANT Regular price From R$ 39,00 BRL Sale price From R$ 39,00 BRL Colar Crossing Hearts Colar Crossing Hearts Vendor: VANT Regular price From R$ 59,00 BRL Sale price From R$ 59,00 BRL Colar Cross Pearl Colar Cross Pearl Vendor: VANT Regular price R$ 189,00 BRL Sale price R$ 189,00 BRL"
collection,https://getvant.com.br/collections/conjuntos,https://getvant.com.br/collections/conjuntos,"Conjuntos
 &ndash; VANT",,Collection: Conjuntos,"Collection: Conjuntos Semijoias Bijuterias Anéis Colares Brincos Pulseiras Conjuntos Filtrar Disponibilidade 0 selected Reset Disponibilidade In stock (9) In stock (9 products) Out of stock (0) Out of stock (0 products) Preço The highest price is R$ 129,00 Reset R$ From R$ To Remove all Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old 9 products Filtrar e ordenar Filtrar Filtrar e ordenar Filtrar 9 products Disponibilidade Disponibilidade In stock (9) In stock (9 products) Out of stock (0) Out of stock (0 products) Clear Apply Preço Preço The highest price is R$ 129,00 R$ From R$ To Clear Apply Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old Remove all Apply Remove all 9 products Conjunto Relógio Quartz Oferta Conjunto Relógio Quartz Vendor: VANT Regular price R$ 49,00 BRL Regular price R$ 99,00 BRL Sale price R$ 49,00 BRL Oferta Conjunto 12 Pulseiras Golden Oferta Conjunto 12 Pulseiras Golden Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 56,00 BRL Sale price R$ 39,00 BRL Oferta Conjunto Hearty Oferta Conjunto Hearty Vendor: VANT Regular price R$ 33,00 BRL Regular price R$ 49,00 BRL Sale price R$ 33,00 BRL Oferta Conjunto Flor de Cinco Pétalas em Prata 925 Oferta Conjunto Flor de Cinco Pétalas em Prata 925 Semijoia Vendor: VANT Regular price R$ 109,00 BRL Regular price R$ 149,00 BRL Sale price R$ 109,00 BRL Oferta Conjunto de Colar Oferta Conjunto de Colar Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 69,00 BRL Sale price R$ 39,00 BRL Oferta Conjunto Colar Peony Conjunto Colar Peony Vendor: VANT Regular price R$ 129,00 BRL Sale price R$ 129,00 BRL Conjunto Heart Choker Conjunto Heart Choker Vendor: VANT Regular price R$ 69,00 BRL Sale price R$ 69,00 BRL Conjunto de 5 Pulseiras Vintage Conjunto de 5 Pulseiras Vintage Vendor: VANT Regular price From R$ 69,00 BRL Sale price From R$ 69,00 BRL Conjunto de 10 Anéis Golden Strass Oferta Conjunto de 10 Anéis Golden Strass Vendor: VANT Regular price R$ 89,90 BRL Regular price R$ 134,85 BRL Sale price R$ 89,90 BRL Oferta"
collection,https://getvant.com.br/collections/frontpage,https://getvant.com.br/collections/frontpage,"Home page
 &ndash; VANT",,Collection: Home page,"Collection: Home page Semijoias Bijuterias Anéis Colares Brincos Pulseiras Conjuntos Filtrar Disponibilidade 0 selected Reset Disponibilidade In stock (1) In stock (1 product) Out of stock (0) Out of stock (0 products) Preço The highest price is R$ 89,00 Reset R$ From R$ To Remove all Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old 1 product Filtrar e ordenar Filtrar Filtrar e ordenar Filtrar 1 product Disponibilidade Disponibilidade In stock (1) In stock (1 products) Out of stock (0) Out of stock (0 products) Clear Apply Preço Preço The highest price is R$ 89,00 R$ From R$ To Clear Apply Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old Remove all Apply Remove all 1 product Relógio Green Strass Oferta Relógio Green Strass Vendor: VANT Regular price R$ 89,00 BRL Regular price R$ 159,00 BRL Sale price R$ 89,00 BRL Oferta"
collection,https://getvant.com.br/collections/novidades,https://getvant.com.br/collections/novidades,"Novidades
 &ndash; VANT","Os lançamentos mais recentes da VANT em uma curadoria enxuta com peças reais já disponíveis na loja. Aqui entram os drops mais novos, com foco em novidade, desejo e leitura rápida.",Collection: Novidades,"Collection: Novidades Semijoias Bijuterias Anéis Colares Brincos Pulseiras Conjuntos Filtrar Disponibilidade 0 selected Reset Disponibilidade In stock (1) In stock (1 product) Out of stock (0) Out of stock (0 products) Preço The highest price is R$ 59,00 Reset R$ From R$ To Remove all Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old 1 product Filtrar e ordenar Filtrar Filtrar e ordenar Filtrar 1 product Disponibilidade Disponibilidade In stock (1) In stock (1 products) Out of stock (0) Out of stock (0 products) Clear Apply Preço Preço The highest price is R$ 59,00 R$ From R$ To Clear Apply Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old Remove all Apply Remove all 1 product Relógio Red OV Relógio Red OV Vendor: VANT Regular price R$ 59,00 BRL Sale price R$ 59,00 BRL"
collection,https://getvant.com.br/collections/pulseiras,https://getvant.com.br/collections/pulseiras,"Pulseiras
 &ndash; VANT",,Collection: Pulseiras,"Collection: Pulseiras Semijoias Bijuterias Anéis Colares Brincos Pulseiras Conjuntos Filtrar Disponibilidade 0 selected Reset Disponibilidade In stock (2) In stock (2 products) Out of stock (0) Out of stock (0 products) Preço The highest price is R$ 59,00 Reset R$ From R$ To Remove all Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old 2 products Filtrar e ordenar Filtrar Filtrar e ordenar Filtrar 2 products Disponibilidade Disponibilidade In stock (2) In stock (2 products) Out of stock (0) Out of stock (0 products) Clear Apply Preço Preço The highest price is R$ 59,00 R$ From R$ To Clear Apply Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old Remove all Apply Remove all 2 products Relógio Red OV Relógio Red OV Vendor: VANT Regular price R$ 59,00 BRL Sale price R$ 59,00 BRL Pulseira Tiny Hearts Oferta Pulseira Tiny Hearts Vendor: VANT Regular price R$ 29,00 BRL Regular price R$ 39,00 BRL Sale price R$ 29,00 BRL Oferta"
collection,https://getvant.com.br/collections/relogios,https://getvant.com.br/collections/relogios,"Relógios
 &ndash; VANT",,Collection: Relógios,"Collection: Relógios Semijoias Bijuterias Anéis Colares Brincos Pulseiras Conjuntos Remove all Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old 0 products Filtrar e ordenar Filtrar Filtrar e ordenar Filtrar 0 products Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old Remove all Apply Remove all 0 products No products found Use fewer filters or remove all"
collection,https://getvant.com.br/collections/tornozeleiras,https://getvant.com.br/collections/tornozeleiras,"Tornozeleiras
 &ndash; VANT",,Collection: Tornozeleiras,"Collection: Tornozeleiras Semijoias Bijuterias Anéis Colares Brincos Pulseiras Conjuntos Filtrar Disponibilidade 0 selected Reset Disponibilidade In stock (2) In stock (2 products) Out of stock (0) Out of stock (0 products) Preço The highest price is R$ 39,00 Reset R$ From R$ To Remove all Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old 2 products Filtrar e ordenar Filtrar Filtrar e ordenar Filtrar 2 products Disponibilidade Disponibilidade In stock (2) In stock (2 products) Out of stock (0) Out of stock (0 products) Clear Apply Preço Preço The highest price is R$ 39,00 R$ From R$ To Clear Apply Ordenar por Featured Most relevant Best selling Alphabetically, A-Z Alphabetically, Z-A Price, low to high Price, high to low Date, old to new Date, new to old Remove all Apply Remove all 2 products Corrente Corporal Floral Oferta Corrente Corporal Floral Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 49,00 BRL Sale price R$ 39,00 BRL Oferta Corrente de Cintura Shells Oferta Corrente de Cintura Shells Vendor: VANT Regular price R$ 39,00 BRL Regular price R$ 49,00 BRL Sale price R$ 39,00 BRL Oferta"
page,https://getvant.com.br/pages/contact,https://getvant.com.br/pages/contact,"Contact
 &ndash; VANT",,,Contato Name Email * Phone number Comment Send
page,https://getvant.com.br/pages/you-can-design-this-jewelry,https://getvant.com.br/pages/you-can-design-this-jewelry,"You can design this jewelry
 &ndash; VANT",,You can design this jewelry,You can design this jewelry
page,https://getvant.com.br/pages/you-can-design-this-jewelry-1,https://getvant.com.br/pages/you-can-design-this-jewelry-1,"You can design this jewelry
 &ndash; VANT",,You can design this jewelry,You can design this jewelry
